log | 2022-09-13 23:20 | Loaded commands/blacklist.js
log | 2022-09-13 23:20 | Loaded commands/blacklisters.js
log | 2022-09-13 23:20 | Loaded commands/cameos.js
log | 2022-09-13 23:20 | Loaded commands/community.js
log | 2022-09-13 23:20 | Loaded commands/deepl.js
log | 2022-09-13 23:20 | Loaded commands/filter.js
log | 2022-09-13 23:20 | Loaded commands/gossip.js
log | 2022-09-13 23:20 | Loaded commands/list.js
log | 2022-09-13 23:20 | Loaded commands/log.js
log | 2022-09-13 23:20 | Loaded commands/logChannel.js
log | 2022-09-13 23:20 | Loaded commands/mods.js
log | 2022-09-13 23:20 | Loaded commands/relay.js
log | 2022-09-13 23:20 | Loaded commands/run.js
log | 2022-09-13 23:20 | Loaded commands/threads.js
log | 2022-09-13 23:20 | Loaded commands/tlhelp.js
log | 2022-09-13 23:20 | Loaded commands/twitcast.js
log | 2022-09-13 23:20 | Loaded commands/unblacklist.js
log | 2022-09-13 23:20 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:20 | Loaded commands/youtube.js
log | 2022-09-13 23:20 | Loaded 19 commands.
log | 2022-09-13 23:21 | Loaded commands/admins.js
log | 2022-09-13 23:21 | Loaded commands/blacklist.js
log | 2022-09-13 23:21 | Loaded commands/blacklisters.js
log | 2022-09-13 23:21 | Loaded commands/cameos.js
log | 2022-09-13 23:21 | Loaded commands/community.js
log | 2022-09-13 23:21 | Loaded commands/deepl.js
log | 2022-09-13 23:21 | Loaded commands/filter.js
log | 2022-09-13 23:21 | Loaded commands/gossip.js
log | 2022-09-13 23:21 | Loaded commands/list.js
log | 2022-09-13 23:21 | Loaded commands/log.js
log | 2022-09-13 23:21 | Loaded commands/logChannel.js
log | 2022-09-13 23:21 | Loaded commands/mods.js
log | 2022-09-13 23:21 | Loaded commands/relay.js
log | 2022-09-13 23:21 | Loaded commands/run.js
log | 2022-09-13 23:21 | Loaded commands/threads.js
log | 2022-09-13 23:21 | Loaded commands/tlhelp.js
log | 2022-09-13 23:21 | Loaded commands/twitcast.js
log | 2022-09-13 23:21 | Loaded commands/unblacklist.js
log | 2022-09-13 23:21 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:21 | Loaded commands/youtube.js
log | 2022-09-13 23:21 | Loaded 18 commands.
log | 2022-09-13 23:21 | Loaded events/error.js
log | 2022-09-13 23:21 | Loaded events/guildCreate.js
log | 2022-09-13 23:21 | Loaded events/guildDelete.js
log | 2022-09-13 23:21 | Loaded events/interactionCreate.js
log | 2022-09-13 23:21 | Loaded events/messageDelete.js
log | 2022-09-13 23:21 | Loaded events/rateLimit.js
log | 2022-09-13 23:21 | Loaded events/ready.js
log | 2022-09-13 23:21 | Loaded 7 events.
log | 2022-09-13 23:21 | Loaded commands/admins.js
log | 2022-09-13 23:21 | Loaded commands/blacklist.js
log | 2022-09-13 23:21 | Loaded commands/blacklisters.js
log | 2022-09-13 23:21 | Loaded commands/cameos.js
log | 2022-09-13 23:21 | Loaded commands/community.js
log | 2022-09-13 23:21 | Loaded commands/filter.js
log | 2022-09-13 23:21 | Loaded commands/gossip.js
log | 2022-09-13 23:21 | Loaded commands/deepl.js
log | 2022-09-13 23:21 | Loaded commands/list.js
log | 2022-09-13 23:21 | Loaded commands/log.js
log | 2022-09-13 23:21 | Loaded commands/logChannel.js
log | 2022-09-13 23:21 | Loaded commands/mods.js
log | 2022-09-13 23:21 | Loaded commands/relay.js
log | 2022-09-13 23:21 | Loaded commands/run.js
log | 2022-09-13 23:21 | Loaded commands/threads.js
log | 2022-09-13 23:21 | Loaded commands/tlhelp.js
log | 2022-09-13 23:21 | Loaded commands/twitcast.js
log | 2022-09-13 23:21 | Loaded commands/unblacklist.js
log | 2022-09-13 23:21 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:21 | Loaded commands/youtube.js
log | 2022-09-13 23:21 | Loaded 19 commands.
log | 2022-09-13 23:31 | Loaded commands/admins.js
log | 2022-09-13 23:31 | Loaded commands/blacklist.js
log | 2022-09-13 23:31 | Loaded commands/blacklisters.js
log | 2022-09-13 23:31 | Loaded commands/cameos.js
log | 2022-09-13 23:31 | Loaded commands/community.js
log | 2022-09-13 23:31 | Loaded commands/deepl.js
log | 2022-09-13 23:31 | Loaded commands/gossip.js
log | 2022-09-13 23:31 | Loaded commands/filter.js
log | 2022-09-13 23:31 | Loaded commands/list.js
log | 2022-09-13 23:31 | Loaded commands/log.js
log | 2022-09-13 23:31 | Loaded commands/logChannel.js
log | 2022-09-13 23:31 | Loaded commands/mods.js
log | 2022-09-13 23:31 | Loaded commands/relay.js
log | 2022-09-13 23:31 | Loaded commands/run.js
log | 2022-09-13 23:31 | Loaded commands/threads.js
log | 2022-09-13 23:31 | Loaded commands/tlhelp.js
log | 2022-09-13 23:31 | Loaded commands/unblacklist.js
log | 2022-09-13 23:31 | Loaded commands/twitcast.js
log | 2022-09-13 23:31 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:31 | Loaded commands/youtube.js
log | 2022-09-13 23:31 | Loaded 18 commands.
log | 2022-09-13 23:31 | Loaded events/error.js
log | 2022-09-13 23:31 | Loaded events/guildCreate.js
log | 2022-09-13 23:31 | Loaded events/guildDelete.js
log | 2022-09-13 23:31 | Loaded events/interactionCreate.js
log | 2022-09-13 23:31 | Loaded events/messageDelete.js
log | 2022-09-13 23:31 | Loaded events/rateLimit.js
log | 2022-09-13 23:31 | Loaded events/ready.js
log | 2022-09-13 23:31 | Loaded 7 events.
log | 2022-09-13 23:31 | Loaded commands/admins.js
log | 2022-09-13 23:31 | Loaded commands/blacklist.js
log | 2022-09-13 23:31 | Loaded commands/blacklisters.js
log | 2022-09-13 23:31 | Loaded commands/cameos.js
log | 2022-09-13 23:31 | Loaded commands/community.js
log | 2022-09-13 23:31 | Loaded commands/deepl.js
log | 2022-09-13 23:31 | Loaded commands/filter.js
log | 2022-09-13 23:31 | Loaded commands/gossip.js
log | 2022-09-13 23:31 | Loaded commands/list.js
log | 2022-09-13 23:31 | Loaded commands/log.js
log | 2022-09-13 23:31 | Loaded commands/logChannel.js
log | 2022-09-13 23:31 | Loaded commands/mods.js
log | 2022-09-13 23:31 | Loaded commands/relay.js
log | 2022-09-13 23:31 | Loaded commands/run.js
log | 2022-09-13 23:31 | Loaded commands/threads.js
log | 2022-09-13 23:31 | Loaded commands/tlhelp.js
log | 2022-09-13 23:31 | Loaded commands/twitcast.js
log | 2022-09-13 23:31 | Loaded commands/unblacklist.js
log | 2022-09-13 23:31 | Loaded commands/viewblacklist.js
log | 2022-09-13 23:31 | Loaded commands/youtube.js
log | 2022-09-13 23:31 | Loaded 19 commands.
log | 2022-09-13 23:31 | Loaded commands/admins.js
log | 2022-09-13 23:31 | Loaded commands/blacklist.js
